fighter_id,name,height,reach,stance,dob,record
d1053e55f00e53fe,AJ Cunningham,"5' 10""","71""",Orthodox,"Sep 07, 1994",11-5-0
009c4420727149ea,AJ Dobson,"6' 1""","76""",Orthodox,"Jan 18, 1992",7-3-0 (1 NC)
725b1abc9a39d873,AJ Fletcher,"5' 10""","67""",Switch,"Feb 18, 1997",10-3-0
003d82fa384ca1d0,Aalon Cruz,"6' 0""","78""",Switch,"Sep 20, 1989",8-4-0
cf1a88371c8cb690,Aaron Brink,"6' 3""",--,Orthodox,"Nov 12, 1974",26-26-0 (2 NC)
34c2b3656f88f7ef,Aaron Phillips,"5' 9""","71""",Southpaw,"Aug 05, 1989",12-5-0
5537efc6e496dd84,Aaron Pico,"5' 8""","70""",Orthodox,"Sep 23, 1996",14-5-0
f2c8ebbeafd45f2b,Aaron Riley,"5' 8""","69""",Southpaw,"Dec 09, 1980",30-14-1
11f8860028b68fcf,Aaron Rosa,"6' 4""","77""",Orthodox,"May 28, 1983",18-6-0
d5f820c11a121050,Aaron Simpson,"6' 0""","73""",Orthodox,"Jul 20, 1974",12-5-0
338a11d3674eb2d4,Aaron Wilkinson,"5' 10""",--,Orthodox,"Jan 31, 1987",11-7-0
95aff2fd8d09a5f0,Abdul Rakhman Yakhyaev,"6' 2""","78""",Orthodox,"Jan 03, 2001",10-0-0
eae431e70064e046,Abdul Razak Alhassan,"5' 10""","73""",Orthodox,"Aug 11, 1985",12-7-0 (1 NC)
597499ac7a5aac62,Abdul-Kareem Al-Selwady,"5' 8""","69""",Orthodox,"Apr 10, 1995",16-4-0
37e03538c960bac6,Abdul-Kerim Edilov,"6' 2""",--,Orthodox,"Nov 25, 1991",17-4-0
e14b5aa06eea9653,Abel Trujillo,"5' 8""","70""",Orthodox,"Sep 18, 1983",15-8-0 (1 NC)
6448e57a9533b7e4,Abner Lloveras,"5' 11""",--,,"Sep 04, 1982",20-9-1
46d0a888d87d91ac,Abu Azaitar,"5' 9""","76""",Orthodox,"Mar 10, 1986",14-4-1
029e1293e609fd74,Abubakar Nurmagomedov,"5' 11""","72""",Orthodox,"Nov 13, 1989",17-4-1
36b8f265bcd1b7a4,Abus Magomedov,"6' 2""","78""",Orthodox,"Sep 02, 1990",29-7-1
b27b8881d7444114,Adam Cella,"6' 2""",--,,"Jun 26, 1985",6-8-0
a01a62132460a98d,Adam Fugitt,"6' 1""","77""",Southpaw,"Jan 12, 1989",10-6-0
72ffecf712673af1,Adam Milstead,"6' 3""","76""",Orthodox,"Jul 03, 1987",8-4-0
efa1f6b42c86793c,Adam Wieczorek,"6' 5""","81""",Orthodox,"Feb 05, 1992",10-2-0
0a95c474e61a6c44,Adam Yandiev,"5' 9""","74""",Orthodox,"Aug 07, 1988",9-1-0
1e327b281ef6a745,Adlan Amagov,"6' 2""","76""",Orthodox,"Oct 30, 1986",14-2-1
e3b30b573e7f0d19,Adrian Luna Martinetti,"5' 8""","71""",Orthodox,"Aug 20, 1995",17-2-0
e7ec11096eac0282,Adrian Serrano,"5' 8""",--,,"Dec 23, 1963",56-29-4
0232cabbc30a2372,Adrian Yanez,"5' 7""","70""",Orthodox,"Nov 29, 1993",18-6-1
7dcf06c1967801c1,Adriano Martins,"5' 10""","72""",Southpaw,"Dec 16, 1982",28-9-0
c6e6926a81adcd00,Adriano Santos,--,--,,--,0-1-0
24656ef4d605c96f,Aiemann Zahabi,"5' 8""","68""",Orthodox,"Nov 19, 1987",14-3-0
06e4245d16fc5315,Ailin Perez,"5' 5""","66""",Switch,"Oct 05, 1994",13-2-0
e50cd77732d39967,Aisling Daly,"5' 2""","64""",Orthodox,"Dec 24, 1987",16-6-0
c136b2a8852da5bd,Akbarh Arreola,"5' 10""","71""",Southpaw,"Jan 14, 1983",23-11-1
b2acebbef8da14ea,Akihiro Gono,"5' 7""","68""",Switch,"Oct 07, 1974",35-21-8
3f52ce18fb98008f,Akira Corassani,"5' 8""","68""",Orthodox,"Aug 27, 1982",12-6-0 (1 NC)
59279a7c978f7da0,Al Iaquinta,"5' 10""","70""",Orthodox,"Apr 30, 1987",14-7-1
c9a94278df042f46,Alan Baudot,"6' 3""","79""",Orthodox,"Feb 01, 1988",8-3-0 (2 NC)
4130a743d9d22163,Alan Belcher,"6' 2""","75""",Orthodox,"Apr 24, 1984",18-8-0
cf65d56b0755ed3b,Alan Jouban,"6' 0""","73""",Southpaw,"Nov 25, 1981",17-7-0
f2ad06f1007c481a,Alan Omer,"5' 10""",--,Orthodox,"Sep 14, 1988",20-5-0
cd7763bcadb5d4c8,Alan Patrick,"5' 11""","74""",Southpaw,"Jul 19, 1983",15-4-0 (1 NC)
1897b7b913736a7c,Alatengheili,"5' 5""","66""",Orthodox,"Dec 14, 1991",17-10-2
d8d7b24d276c8cb0,Albert Cheng,"5' 11""",--,Orthodox,"Feb 07, 1985",7-4-0
6b7c7460855dbbb9,Albert Duraev,"5' 11""","75""",Orthodox,"Jan 05, 1989",16-5-0
544d7460b3e44393,Albert Morales,"5' 9""","72""",Orthodox,"May 25, 1991",7-4-1
ff6a1f63c254127e,Albert Tumenov,"5' 11""","73""",Orthodox,"Dec 26, 1991",18-4-0
6e02c318762f52f1,Alberta Cerra Leon,"5' 8""",--,,--,0-1-0
25433871e4eee0f4,Alberto Crane,"5' 5""",--,Orthodox,"Jul 14, 1976",15-5-0
4b1d46a1b5c0fd11,Alberto Mina,"6' 0""","77""",Orthodox,"May 02, 1982",13-1-0
a112097ad877a48f,Alberto Montes,"5' 7""","69""",Orthodox,"May 31, 1994",12-2-0
8f2deefe8c5dfb5d,Alberto Uda,"6' 3""",--,Orthodox,"Aug 08, 1984",12-2-0
5e9ca8dd7d783a75,Alden Coria,"5' 8""","67""",Orthodox,"Apr 24, 1998",13-3-0 (1 NC)
80daefbed11ce998,Alejandro Perez,"5' 6""","67""",Orthodox,"Sep 02, 1989",23-9-1
c2a670b22d2e196f,Aleksa Camur,"6' 1""","74""",Orthodox,"Sep 25, 1995",6-3-0
333b9e5c723ac873,Aleksandar Rakic,"6' 4""","78""",Orthodox,"Feb 06, 1992",14-6-0
e76d9f656ceb82ab,Aleksandra Albu,"5' 2""","63""",Orthodox,"Jul 14, 1990",3-2-0
4a6dff1b260bcf61,Aleksandre Topuria,"5' 7""","68""",Orthodox,"Jan 28, 1996",7-1-0
e2ccd9a9ace60de7,Aleksei Kunchenko,"5' 8""","70""",Orthodox,"May 02, 1984",20-2-0
98c23cb6da5b3352,Aleksei Oleinik,"6' 2""","80""",Orthodox,"Jun 20, 1977",60-17-1
70fa1c64a2c439ef,Alen Amedovski,"5' 10""","74""",Orthodox,"Apr 06, 1988",8-4-0
3fa97913cfd205d3,Alessandro Costa,"5' 4""","67""",Orthodox,"Jan 28, 1996",17-5-0
77d7295d1b22c694,Alessio Di Chirico,"6' 0""","74""",Orthodox,"Dec 12, 1989",13-7-0
7f955f71fa2ce7ac,Alessio Sakara,"6' 0""","72""",Orthodox,"Sep 02, 1981",19-11-0 (2 NC)
1562b12763cc8d67,Alex Andrade,"5' 11""",--,Orthodox,"May 14, 1974",10-5-0
7aa3d6964eff4877,Alex Caceres,"5' 10""","73""",Southpaw,"Jun 20, 1988",21-15-0 (1 NC)
26b63bc5c0c1f65d,Alex Chambers,"5' 3""","63""",Southpaw,"Oct 25, 1978",5-5-0
c3ded6f7155f9ea4,Alex Da Silva,"5' 8""","73""",Orthodox,"Feb 04, 1996",21-4-0
a2b12c3f3d60ff69,Alex Garcia,"5' 9""","72""",Orthodox,"Jul 14, 1987",15-6-0
803bebcfb6d6f506,Alex Gorgees,"6' 2""","74""",Switch,"Aug 11, 1995",6-1-0
baa5358456803df8,Alex Hunter,"5' 9""",--,Orthodox,--,2-0-0
e361e5c858af6ff1,Alex Karalexis,"5' 8""","66""",Orthodox,"Sep 20, 1977",10-6-0
cdb96af67d096b1e,Alex Morono,"5' 11""","72""",Orthodox,"Aug 16, 1990",24-13-0 (1 NC)
2b6d855c6e280fb1,Alex Nicholson,"6' 4""","77""",Orthodox,"May 02, 1990",7-4-0
57b10fca4f9c9a7a,Alex Oliveira,"5' 11""","76""",Orthodox,"Feb 21, 1988",22-12-1 (2 NC)
e5549c82bfb5582d,Alex Pereira,"6' 4""","79""",Orthodox,"Jul 07, 1987",13-4-0
ab2b4ff41d6ebe0f,Alex Perez,"5' 6""","65""",Orthodox,"Mar 21, 1992",26-10-0 (1 NC)
